在飞钓中，使用柔性竿移动并展开有重量的线来推进假饵的过程称为什么？,飞钓抛投 (Fly Casting)。
在远距离抛投的最后一次后抛中，通过什么动作可以使线长从 70 英尺增加到 80 英尺以上？,在后抛中出线并配合漂移 (Drift)。
为了保持最高效的动力传输，双拉中的“拉线”（Haul）动作应该在什么时候结束？,与竿尖停止（Stop）的同一时刻。
在双拉动作中，拉线方向应尽可能与什么保持平行？,鱼竿 (The rod)。
学习双拉的前提条件是能够单手稳定抛出多远的线且保持线环紧凑？,40 到 50 英尺。
双拉动作中，拉线（Haul）的时机通常是在抛投行程的哪个阶段？,抛投行程的末端（尽可能晚）。
在风中抛投时，为了减小阻力并提高效率，应当使用什么样的线环？,窄线环/紧凑线环 (Narrow/Skinny loops)。
在强风环境下，为了保证准确性，飞钓线应在什么时候展开？,在即将触及水面的一瞬间展开。
当风从持竿手一侧吹来时，为了安全，可以使用哪种抛投将线带到身体另一侧？,比利时抛投/持续张力抛投 (Belgian/Constant Tension Cast)。
在顶风抛投时，建议采用什么样的轨迹组合？,高后抛，低前抛。
追尾线环（Tailing Loop）产生的根本物理原因是什么？,竿尖轨迹（Rod Tip Path）出现向下凹陷。
抛投中“突然发力”（Spike in power）通常会导致哪种线环故障？,追尾线环 (Tailing Loop)。
如果抛投者在停止后竿尖反弹（Rebound），会对抛投弧度产生什么影响？,缩短抛投弧度，可能导致追尾线环。
滚抛（Roll Cast）的主要用途之一是处理什么样的情况？,身后有障碍物（如树木或堤岸）。
滚抛中，竿尖后的线呈现出的半圆形状称为什么？,D 环 (D Loop)。
在滚抛中，飞钓线离开水面的那个点称为什么？,锚点 (Anchor Point)。
静态 D 环与动态 D 环相比，哪种抛投力量更强？,动态 D 环 (Dynamic D Loop)。
在滚抛练习中，为了避免线路缠绕，应当遵循什么原则？,铁轨原则 (Railroad tracks)，即竿腿与线腿平行不交叉。
“滚抛提起”（Roll Cast Pickup）的主要作用是什么？,快速清除线路松弛或从水中提起沉水线/重型飞钩。
伸手控线（Reach Mend）的主要目的是什么？,补偿水流，防止毛钩产生拖拽（Drag）。
进行伸手控线（Reach Mend）的操作步骤是什么？,抛投停止，横向伸手，然后放低竿尖。
对于溪流垂钓，伸手控线通常在什么距离内最为有效？,30 到 40 英尺。
持续张力抛投（Constant Tension Cast）为何适合重型假饵或沉水线？,因为假饵从不停止运动，不会对鱼竿产生瞬间冲击（Shock）。
椭圆抛投（Oval Cast）的动作轨迹是怎样的？,平后抛过渡到接近垂直的前抛。
快速抛投（Quick Cast）中，建议如何握住毛钩以确保安全？,捏住毛钩的尾部或钩弯处。
在船上进行快速抛投前，首要的准备动作是什么？,清理并堆叠好主线 (Clear and stack the line)。
在浅滩涉水（Wading）进行快速抛投时，如何管理长距离的主线？,在持竿手下通过指缝形成一到两个大的线圈。
哪种松线呈现（Slack Line Presentation）是通过在停止后左右晃动竿尖实现的？,蛇形抛投/摆动控线 (Wiggle Mend/Sinuous Cast)。
什么是“倾倒抛投”（Dump Cast）？,一种故意的低动力抛投，使主线和前导线在毛钩后方堆积成团以消除拖拽。
在风力较大且需要高准确度的环境下，相比堆积抛投（Pile Cast），哪种曲线抛投更可靠？,过载曲线抛投 (Overpowered Curve Cast)。
右撇子实现向左曲线抛投的最简单方法是什么？,进行侧向抛投并在末端猛然停止 (Hard stop)。
什么是“下沉抛投”（Super Tuck Cast）？,一种产生垂直松弛的抛投，利用向下轨迹和向上提竿使重型若虫快速下沉。
在远距离抛投练习中，如果后抛线环开始崩溃，练习者应该怎么做？,停止并减少抛投距离，直到线环恢复紧凑。
如何实现“下悬线环”（Underslung Loop）？,使毛钩腿在线环展开时处于竿腿下方。
在 FFI 定义中，面向下游时河流的左侧称为什么？,左岸 (River Left)。
什么动作连接了 D 环扫掠（D Loop Sweep）和最后一次抛投（Delivery Cast）？,上画圈 (Circle Up)。
